Genome Name,,Amikacin,Tobramycin,Gentamycin,Imipenem,Meropenam,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/sulfamethoxazole,Ampicillin/sulbactam,Colistin,polymyxin B,Tetracycline,Doxicycline ,Minocycline
Acinetobacter baumannii strain MRSN7139,,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7140,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7142,,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7143,,Susceptible,Resistant,Resistant,Susceptible,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7145,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7146,,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7147,,Susceptible,NA,Resistant,NA,NA,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7149,,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,NA,Susceptible,NA,NA
Acinetobacter baumannii strain MRSN7154,,Resistant,NA,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7155,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7156,,Resistant,Resistant,Resistant,Susceptible,NA,Susceptible,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7157,,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA
Acinetobacter baumannii strain MRSN7158,,Susceptible,Susceptible,Resistant,Susceptible,NA,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA
